Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CCR6- CXCR3- / CCR4+,Infants 12wks,BCG,CD4,35,2.07,1.09,0.63,459,0.01875289239657592,0.27142857142857146,0.028129338594863884
CCR6- CXCR3- / CCR4+,Infants 12wks,DosR,CD4,34,4.915,0.785,1.94,505,4.01580002285049e-4,0.1512605042016807,8.03160004570098e-4
CCR6- CXCR3- / CCR4+,Infants 44wks,BCG,CD4,34,4.275,0.695,3.34,529,7.83580879280538e-5,0.11092436974789921,1.8805941102732914e-4
CCR6- CXCR3- / CCR4+,Infants 44wks,DosR,CD4,32,5.62,0.6699999999999999,2.4400000000000004,481,5.15475033261262e-5,0.08901515151515149,1.546425099783786e-4
CCR6- CXCR3- / CCR4+,Mothers Dx,BCG,CD4,3,12,2.62,9.379999999999999,6,0.1814492077214203,0,0.19794459024154942
CCR6- CXCR3- / CCR4+,Mothers Dx,DosR,CD4,6,7.109999999999999,1.045,6.2985,21,0.036031686218233556,0,0.04804224829097807
CCR6- CXCR3- / CCR4+,Mothers Dx,E6C10,CD4,6,8.145,1.56,3.5549999999999997,17,0.20841280368414858,0.19047619047619047,0.20841280368414858
CCR6- CXCR3- / CCR4+,Mothers Dx,GAG,CD4,5,5.99,1.24,5.45,15,0.059058229090536735,0,0.07086987490864408
CCR6- CXCR3- / CCR4+,Mothers Entry,BCG,CD4,18,7.13,1.675,3.835,152,0.004048940423386276,0.11111111111111116,0.0069410407258050436
CCR6- CXCR3- / CCR4+,Mothers Entry,DosR,CD4,29,8.24,0.38,6.847,435,2.7023691404779837e-6,0,1.6214214842867903e-5
CCR6- CXCR3- / CCR4+,Mothers Entry,E6C10,CD4,31,6.03,0.56,5.319999999999999,490,2.2169958981888636e-6,0.012096774193548376,1.6214214842867903e-5
CCR6- CXCR3- / CCR4+,Mothers Entry,GAG,CD4,24,13.2,1.5550000000000002,7.694999999999999,299,2.206919308346755e-5,0.0033333333333332993,8.82767723338702e-5
