Contrast,Analyte,n_A,n_B,median_A,median_B,median_diff_AminusB,p_value,test,p_adj
MaternalIGRA_Pos_vs_Neg,CD14,32,26,14.358046556915927,14.595747452903277,-0.23770089598735034,0.04620492665843655,wilcox_unpaired,0.4655459082821877
MaternalIGRA_Pos_vs_Neg,CD163,18,14,14.259001736724011,14.232169161558407,0.026832575165604666,0.7467798374027901,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,CD25,18,14,7.8574804876409345,7.859206496109405,-0.0017260084684700416,0.8642702641586779,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,CRP,18,14,14.29338909918463,15.094732318041283,-0.8013432188566529,0.45884882880542366,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,D-Dimer,16,14,15.078231107454805,15.611942602778832,-0.5337114953240274,0.20483303385933516,wilcox_unpaired,0.6964323151217395
MaternalIGRA_Pos_vs_Neg,GM-CSF,10,5,0.40510942607289147,0.412109650826833,-0.00700022475394152,0.8059859004967368,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,ICAM-1,18,14,11.179925047430341,11.023944836147733,0.15598021128260875,0.9243409218051485,wilcox_unpaired,0.9247190374867695
MaternalIGRA_Pos_vs_Neg,IFN-a2,10,10,1.8247313608750724,1.6712418206408235,0.15348954023424888,0.40514864937120354,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,IFN-g,32,26,1.8744036813469123,1.8847940469258209,-0.0103903655789086,0.5788261219494153,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,IL-10,32,26,1.381079763374621,1.5073407978562008,-0.12626103448157977,0.5013648075512979,wilcox_unpaired,0.8971791293023225
MaternalIGRA_Pos_vs_Neg,IL-13,19,12,3.8505730431119236,3.8379382175889747,0.012634825522948923,0.8549305060941815,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,IL-17A,25,24,1.308332819650179,1.2784275745502922,0.02990524509988668,0.40629921749155457,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,IL-18,18,14,6.621605037625715,6.5340627661448725,0.08754227148084226,0.45884882880542366,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,IL-1RA,32,26,6.036195512811049,6.0557577983507525,-0.019562285539703517,0.7604493628650171,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,IL-1a,32,26,4.577631870155749,4.345262757926933,0.23236911222881584,0.3855224608438285,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,IL-1b,18,23,0.4943615075654134,0.4382549309311553,0.05610657663425811,0.7724568050708274,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,IL-2,19,20,1.0331844833456545,0.7690353980428422,0.26414908530281234,0.05967262874503352,wilcox_unpaired,0.4655459082821877
MaternalIGRA_Pos_vs_Neg,IL-22,8,8,1.1893654935866664,1.1830615568990166,0.006303936687649836,0.4298777900031531,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,IL-27,16,11,6.168758081905592,6.174306801648666,-0.0055487197430741375,0.7860476368905701,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,IL-4,7,4,0.6729444732424258,0.8976598952114061,-0.2247154219689803,0.9247190374867695,wilcox_unpaired,0.9247190374867695
MaternalIGRA_Pos_vs_Neg,IL-5,21,18,0.5007752879124893,0.5127519084237357,-0.011976620511246483,0.8215725226046684,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,IL-6,27,25,0.7514160886839212,1.085189268335969,-0.3337731796520478,0.11519424024574086,wilcox_unpaired,0.48957552104439866
MaternalIGRA_Pos_vs_Neg,IL-8,29,26,2.856470206220483,2.608069690394994,0.24840051582548917,0.2516304036179457,wilcox_unpaired,0.7777667020918322
MaternalIGRA_Pos_vs_Neg,IP-10,32,26,5.428452796267423,5.353799371532187,0.07465342473523595,0.7723859974533398,wilcox_unpaired,0.9182871556685953
MaternalIGRA_Pos_vs_Neg,LBP,30,26,16.14241372063643,16.306208421382163,-0.16379470074573277,0.09540471501935013,wilcox_unpaired,0.4655459082821877
MaternalIGRA_Pos_vs_Neg,MCP-1,32,26,5.260961051394418,5.283701316615748,-0.02274026522132999,0.3362613699292846,wilcox_unpaired,0.8667144544102446
MaternalIGRA_Pos_vs_Neg,MMP-9,18,14,12.083551400189943,12.335194808322981,-0.2516434081330381,0.07733062015390463,wilcox_unpaired,0.4655459082821877
