Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CD107a,Infants 12wks,BCG,CD8,35,18.9,8.1,9.934764926931106,605,2.118675470744717e-6,0.03968253968253965,1.0169642259574642e-5
CD107a,Infants 12wks,BCG,gdTCR,35,53.45061576354681,21.09003322259136,30.91930181600877,625,3.9918759416421435e-7,0.007936507936507908,4.7902511299705725e-6
CD107a,Infants 12wks,DosR,CD8,34,10.209957234497505,1.634752585141059,7.646534864300627,573,2.5809596013834936e-6,0.036974789915966366,1.0323838405533974e-5
CD107a,Infants 12wks,DosR,gdTCR,34,40.63545744003396,11.804922281085071,27.33315249979742,595,3.8191520023814874e-7,0,4.7902511299705725e-6
CD107a,Infants 44wks,BCG,CD8,34,24.586934820904286,10.957969143876852,9.185962517728559,511,3.9634384685597816e-5,0.14117647058823535,8.78813116301439e-5
CD107a,Infants 44wks,BCG,gdTCR,34,56.88608040603219,19.369094626541436,35.819185354135,561,6.911902984047282e-6,0.05714285714285716,2.0735708952141846e-5
CD107a,Infants 44wks,DosR,CD8,32,14.420192043895746,3.2845344347097507,9.598506498805996,483,4.394065581507195e-5,0.08522727272727271,8.78813116301439e-5
CD107a,Infants 44wks,DosR,gdTCR,32,49.66231816854096,11.01922171340776,38.39668186150222,519,1.9466994799044197e-6,0.017045454545454586,1.0169642259574642e-5
CD107a,Mothers Dx,BCG,CD8,3,19.033587786259545,29.881097560975608,-10.657410881801127,0,0.1814492077214203,1,0.22919899922705722
CD107a,Mothers Dx,BCG,gdTCR,3,49.95886699507389,21.390023201856145,28.918441463158995,6,0.1814492077214203,0,0.22919899922705722
CD107a,Mothers Dx,DosR,CD8,6,8.4,24.683896895787136,-12.369582551594746,4,0.20841280368414858,0.8095238095238095,0.23818606135331266
CD107a,Mothers Dx,DosR,gdTCR,6,40.8033545409364,19.304444759836105,23.421959426490368,20,0.05917206782585943,0.04761904761904767,0.08875810173878915
CD107a,Mothers Dx,E6C10,CD8,6,19.32220591113721,26.811950146627563,-6.586249836498317,4,0.20841280368414858,0.8095238095238095,0.23818606135331266
CD107a,Mothers Dx,E6C10,gdTCR,6,49.25151090467907,20.059281770910466,24.307238015243,21,0.036031686218233556,0,0.06176860494554324
CD107a,Mothers Dx,GAG,CD8,5,12.653846153846155,23.95426829268293,0.5517613962824548,8,1,0.4666666666666667,1
CD107a,Mothers Dx,GAG,gdTCR,5,45.303201970443354,17.986170212765956,25.7690847315263,15,0.059058229090536735,0,0.08875810173878915
CD107a,Mothers Entry,BCG,CD8,18,29.58907209200157,34.528171099039724,1.8696062204368111,103,0.4590839818766905,0.39766081871345027,0.5008188893200259
CD107a,Mothers Entry,BCG,gdTCR,18,67.45567612181648,27.06231231231231,36.83045555320298,169,3.007193855209162e-4,0.011695906432748537,5.551742501924607e-4
CD107a,Mothers Entry,DosR,CD8,29,17.335685210312075,24.68893528183716,-4.179109062980032,148,0.13569891448594798,0.6597701149425288,0.19157493809780893
CD107a,Mothers Entry,DosR,gdTCR,29,51.09524517087667,26,21.9,430,4.559053220747414e-6,0.011494252873563204,1.563103961399113e-5
CD107a,Mothers Entry,E6C10,CD8,31,20,23.33611691022965,-3.009245594989561,212,0.48663091390215063,0.5725806451612903,0.5077887797239833
CD107a,Mothers Entry,E6C10,gdTCR,31,53.68615384615385,21.832269503546097,23.66571721422021,492,1.8262420102708948e-6,0.008064516129032251,1.0169642259574642e-5
CD107a,Mothers Entry,GAG,CD8,24,34.511954183891454,17.53372380594873,19.59987101313321,294,4.131501382509354e-5,0.020000000000000018,8.78813116301439e-5
CD107a,Mothers Entry,GAG,gdTCR,24,55.78541783428218,20.50929648241206,33.70474761803696,300,1.94224739173131e-5,0,5.1793263779501595e-5
